srr	rc	offset	p	fdr
SRR1916544	29	12	2.45528062348549e-42	8.94339642674385e-41
SRR1758409	30	12	2.75756892228437e-42	9.98469747277132e-41
SRR1257229	28	12	3.89311080404928e-42	1.4012895278717e-40
SRR1257267	29	12	4.89304125631972e-42	1.7508452918937e-40
SRR627624	29	12	6.04818691499332e-42	2.15152754408798e-40
SRR1758391	28	12	7.92667144150445e-42	2.80336874294602e-40
SRR1585488	29	14	1.16481690170383e-41	4.09571168385224e-40
SRR1535541	28	12	1.63438132567208e-41	5.71375954256509e-40
SRR1257268	29	12	3.44919185088886e-41	1.19212693351439e-39
SRR1257235	29	12	3.44919185103621e-41	1.19212693351439e-39
SRR1257255	28	12	3.49386527392964e-41	1.20074477182565e-39
SRR1535537	28	12	3.65694781170343e-41	1.24973109767371e-39
SRR1916544	30	12	4.01551629430723e-41	1.36460254850675e-39
SRR1916545	30	12	4.64068874260195e-41	1.5682949789582e-39
SRR1257235	28	12	5.5016510439515e-41	1.8489802928374e-39
SRR1535540	28	12	6.04633502040553e-41	2.02087120489708e-39
SRR1257270	29	12	1.82268669434903e-40	6.05869025230881e-39
SRR1802132	28	12	2.54674602202044e-40	8.41948698475562e-39
SRR3317843	29	12	2.89824854931696e-40	9.52975455432167e-39
SRR1257271	29	12	3.13025741184752e-40	1.02372880840153e-38
SRR1528696	29	12	3.25634660502877e-40	1.05927039563583e-38
SRR1585525	29	14	3.69364890920754e-40	1.19513118695263e-38
SRR1257265	29	12	4.32298969757764e-40	1.39136223970184e-38
SRR1610245	28	12	5.86059908038165e-40	1.87631706347166e-38
SRR1916548	30	12	7.77944449731731e-40	2.47761051712991e-38
SRR1585547	29	14	8.48604807188911e-40	2.68857450110945e-38
SRR1802133	28	12	1.48409838798485e-39	4.67760129228591e-38
SRR1257232	28	12	1.5808568959761e-39	4.95688273104257e-38
SRR1333393	29	12	3.92399573430938e-39	1.22408543855405e-37
SRR1257237	28	12	4.77536183294043e-39	1.48206765458044e-37
SRR1585504	29	14	5.25290554896109e-39	1.62200124133656e-37
SRR1916545	29	12	5.33807206218991e-39	1.63997436132834e-37
SRR1257264	29	12	5.49528570110469e-39	1.67979009647336e-37
SRR1916549	29	12	1.02510622030166e-38	3.11786056904751e-37
SRR1802148	29	12	1.21266229763718e-38	3.6699625654363e-37
SRR1257230	28	12	1.35871145660256e-38	4.09160484678881e-37
SRR1257231	28	12	1.57937691979631e-38	4.73268463207928e-37
SRR1257226	28	12	1.68439193371696e-38	5.02262555529426e-37
SRR2874129	30	12	1.76377253031253e-38	5.23367234238592e-37
SRR1257245	28	12	2.10195218830351e-38	6.20688114633507e-37
SRR627625	29	12	2.87746769922869e-38	8.45586280889281e-37
SRR1585543	29	14	2.99420467044271e-38	8.75660913956876e-37
SRR1257231	29	12	4.01609359941135e-38	1.16889461077604e-36
SRR1535544	28	12	4.07053164053483e-38	1.17909733187492e-36
SRR1610257	29	12	5.9579373560757e-38	1.71763663208571e-36
SRR1585548	29	14	6.80599131798599e-38	1.95287005600513e-36
SRR1535543	28	12	7.28565161526623e-38	2.08068632749599e-36
SRR1257241	28	12	1.56136996671262e-37	4.43823061098731e-36
SRR1758410	29	12	1.66915314614745e-37	4.72253887814647e-36
SRR1257248	28	12	1.78147682244965e-37	5.017001625445e-36
SRR1610254	29	12	1.89696581534713e-37	5.31762352753759e-36
SRR1257228	28	12	2.59163562687391e-37	7.23161445792384e-36
SRR1535539	28	12	2.93081652277672e-37	8.14071091691817e-36
SRR1976447	30	12	3.30104779712543e-37	9.1273971590518e-36
SRR1585545	29	14	4.97274475206869e-37	1.36874236773004e-35
SRR1802139	30	12	5.22758401451802e-37	1.43240511532942e-35
SRR1257233	28	12	5.73901955930283e-37	1.56549129951745e-35
SRR1802136	28	12	6.59624197518288e-37	1.7912919613856e-35
SRR1758409	29	12	7.46590864586802e-37	2.01844987968067e-35
SRR1585536	29	14	9.01135758985503e-37	2.42549062916319e-35
SRR627627	29	12	1.26606942254202e-36	3.39273140851238e-35
SRR1585542	29	14	1.8636993028473e-36	4.97231704351761e-35
SRR1257237	29	12	2.13719027686277e-36	5.6770866612036e-35
SRR3356523	27	12	2.5147196476376e-36	6.65088678981718e-35
SRR1916542	29	12	2.89187244231052e-36	7.61526409808436e-35
SRR1585488	28	14	2.97793912814332e-36	7.7745938697407e-35
SRR1257225	29	12	2.97793912814332e-36	7.7745938697407e-35
